Model,MSO64B
Channel,CH1,,Channel,CH2,,Channel,REF1,,Channel,REF2
Label,,,Label,,,Label,CH1,,Label,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,349.10156250,,Zero Index,349.10156250,,Zero Index,349.11328125,,Zero Index,349.11328125
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000,,yPosition,2.160000,,yPosition,2.180000

Labels,,,,Labels,CH1,,Labels,CH2
TIME,CH1,CH2,,TIME,REF1,,TIME,REF2
-2.28881250e-07,6.40625000e-03,1.46093750e-02,,-2.28890625e-07,3.18749994e-03,,-2.28890625e-07,7.26562506e-03
-2.28081250e-07,8.25000000e-03,9.14062500e-03,,-2.28090625e-07,8.28124955e-03,,-2.28090625e-07,8.12499970e-03
-2.27281250e-07,6.25000000e-03,4.68750000e-03,,-2.27290625e-07,8.24999996e-03,,-2.27290625e-07,1.48437498e-03
-2.26481250e-07,5.59375000e-03,1.21093750e-02,,-2.26490625e-07,6.09374978e-03,,-2.26490625e-07,1.35937501e-02
-2.25681250e-07,6.56250000e-04,3.90625000e-03,,-2.25690625e-07,5.81250014e-03,,-2.25690625e-07,1.05468752e-02
-2.24881250e-07,7.40625000e-03,1.16406250e-02,,-2.24890625e-07,6.93750009e-03,,-2.24890625e-07,2.81250011e-03
-2.24081250e-07,3.59375000e-03,1.78125000e-02,,-2.24090625e-07,8.21875036e-03,,-2.24090625e-07,8.98437481e-03
-2.23281250e-07,4.43750000e-03,1.18750000e-02,,-2.23290625e-07,5.90624986e-03,,-2.23290625e-07,1.47656249e-02
-2.22481250e-07,1.81250000e-03,1.25781250e-02,,-2.22490625e-07,5.15625020e-03,,-2.22490625e-07,1.45312501e-02
-2.21681250e-07,5.28125000e-03,1.45312500e-02,,-2.21690625e-07,6.21875003e-03,,-2.21690625e-07,4.60937480e-03
-2.20881250e-07,1.06562500e-02,6.40625000e-03,,-2.20890625e-07,3.34375002e-03,,-2.20890625e-07,1.47656249e-02
-2.20081250e-07,7.37500000e-03,2.81250000e-03,,-2.20090625e-07,7.90624972e-03,,-2.20090625e-07,7.10937520e-03
-2.19281250e-07,4.34375000e-03,1.00000000e-02,,-2.19290625e-07,2.43750005e-03,,-2.19290625e-07,9.45312530e-03
-2.18481250e-07,4.53125000e-03,1.56250000e-04,,-2.18490625e-07,8.81250016e-03,,-2.18490625e-07,3.28124990e-03
-2.17681250e-07,5.93750000e-03,1.35937500e-02,,-2.17690625e-07,1.00000005e-03,,-2.17690625e-07,4.99999989e-03
-2.16881250e-07,1.87500000e-03,6.56250000e-03,,-2.16890625e-07,1.01250000e-02,,-2.16890625e-07,7.49999983e-03
-2.16081250e-07,9.71875000e-03,1.15625000e-02,,-2.16090625e-07,2.93749990e-03,,-2.16090625e-07,9.53125022e-03
-2.15281250e-07,6.62500000e-03,1.06250000e-02,,-2.15290625e-07,8.59375019e-03,,-2.15290625e-07,1.39062498e-02
-2.14481250e-07,7.25000000e-03,4.76562500e-03,,-2.14490625e-07,6.15624990e-03,,-2.14490625e-07,-1.24999997e-03
-2.13681250e-07,5.93750000e-04,9.53125000e-03,,-2.13690625e-07,6.71875011e-03,,-2.13690625e-07,1.16406251e-02
-2.12881250e-07,7.03125000e-03,8.75000000e-03,,-2.12890625e-07,3.87499994e-03,,-2.12890625e-07,3.35937506e-03
